,E,N,year,month,variable,predictions
4456,20.482843,53.710861,2019,6,mies_suma_opad,44.450411720189216
4457,16.2477,54.153613,2019,6,mies_suma_opad,42.35822215648065
4458,17.183084,51.691261,2019,6,mies_suma_opad,15.376361793309265
4459,16.790134,52.114888,2019,6,mies_suma_opad,8.13597852760531
4460,17.260901999999998,50.847896,2019,6,mies_suma_opad,27.408314868073642
4461,20.27488,49.970209000000004,2019,6,mies_suma_opad,26.253415691341466
4462,22.649666,49.951308000000004,2019,6,mies_suma_opad,38.291130063747666
4463,15.174479000000002,52.744631000000005,2019,6,mies_suma_opad,21.52284108695428
4464,20.482843,53.710861,2019,7,mies_suma_opad,65.48456546103972
4465,16.2477,54.153613,2019,7,mies_suma_opad,58.10675190269475
4466,17.183084,51.691261,2019,7,mies_suma_opad,41.964141660543724
4467,16.790134,52.114888,2019,7,mies_suma_opad,52.422958482062995
4468,17.260901999999998,50.847896,2019,7,mies_suma_opad,52.327664063597375
4469,20.27488,49.970209000000004,2019,7,mies_suma_opad,67.4983428715652
4470,22.649666,49.951308000000004,2019,7,mies_suma_opad,56.918420851294385
4471,15.174479000000002,52.744631000000005,2019,7,mies_suma_opad,56.50276993908562
4472,20.482843,53.710861,2019,8,mies_suma_opad,53.14395184527055
4473,16.2477,54.153613,2019,8,mies_suma_opad,37.28180616040598
4474,17.183084,51.691261,2019,8,mies_suma_opad,49.75747203228747
4475,16.790134,52.114888,2019,8,mies_suma_opad,49.11285206865531
4476,17.260901999999998,50.847896,2019,8,mies_suma_opad,57.252466455830884
4477,20.27488,49.970209000000004,2019,8,mies_suma_opad,108.37163168464369
4478,22.649666,49.951308000000004,2019,8,mies_suma_opad,103.64008137322851
4479,15.174479000000002,52.744631000000005,2019,8,mies_suma_opad,40.25488688607571
4480,20.482843,53.710861,2019,9,mies_suma_opad,85.16395598011367
4481,16.2477,54.153613,2019,9,mies_suma_opad,83.58319834554898
4482,17.183084,51.691261,2019,9,mies_suma_opad,52.94123667856289
4483,16.790134,52.114888,2019,9,mies_suma_opad,54.482505796431994
4484,17.260901999999998,50.847896,2019,9,mies_suma_opad,47.38392394712166
4485,20.27488,49.970209000000004,2019,9,mies_suma_opad,79.42400295299159
4486,22.649666,49.951308000000004,2019,9,mies_suma_opad,56.383115946904844
4487,15.174479000000002,52.744631000000005,2019,9,mies_suma_opad,67.46259018014604
4488,20.482843,53.710861,2019,10,mies_suma_opad,32.53492216922493
4489,16.2477,54.153613,2019,10,mies_suma_opad,34.26024240734498
4490,17.183084,51.691261,2019,10,mies_suma_opad,17.91076203876165
4491,16.790134,52.114888,2019,10,mies_suma_opad,19.44876807042512
4492,17.260901999999998,50.847896,2019,10,mies_suma_opad,24.077514939686253
4493,20.27488,49.970209000000004,2019,10,mies_suma_opad,49.30741646428197
4494,22.649666,49.951308000000004,2019,10,mies_suma_opad,45.211260762475945
4495,15.174479000000002,52.744631000000005,2019,10,mies_suma_opad,27.737813251482436
4496,20.482843,53.710861,2019,11,mies_suma_opad,25.486182399789012
4497,16.2477,54.153613,2019,11,mies_suma_opad,56.20382468927303
4498,17.183084,51.691261,2019,11,mies_suma_opad,44.37037415232465
4499,16.790134,52.114888,2019,11,mies_suma_opad,49.49946640517846
4500,17.260901999999998,50.847896,2019,11,mies_suma_opad,37.53003444942795
4501,20.27488,49.970209000000004,2019,11,mies_suma_opad,52.27948013484582
4502,22.649666,49.951308000000004,2019,11,mies_suma_opad,68.03008293209633
4503,15.174479000000002,52.744631000000005,2019,11,mies_suma_opad,46.9701391674867
4504,20.482843,53.710861,2019,12,mies_suma_opad,37.21158803508566
4505,16.2477,54.153613,2019,12,mies_suma_opad,25.9259596886865
4506,17.183084,51.691261,2019,12,mies_suma_opad,13.517060218845124
4507,16.790134,52.114888,2019,12,mies_suma_opad,19.97396449140927
4508,17.260901999999998,50.847896,2019,12,mies_suma_opad,18.090731989098273
4509,20.27488,49.970209000000004,2019,12,mies_suma_opad,63.587879729341005
4510,22.649666,49.951308000000004,2019,12,mies_suma_opad,71.4567368966023
4511,15.174479000000002,52.744631000000005,2019,12,mies_suma_opad,25.538305413671907
4512,20.482843,53.710861,2020,1,mies_suma_opad,43.8488291173587
4513,16.2477,54.153613,2020,1,mies_suma_opad,37.90191104718712
4514,17.183084,51.691261,2020,1,mies_suma_opad,26.877847782127766
4515,16.790134,52.114888,2020,1,mies_suma_opad,30.458457353920096
4516,17.260901999999998,50.847896,2020,1,mies_suma_opad,18.620828706205433
4517,20.27488,49.970209000000004,2020,1,mies_suma_opad,20.478856440346902
4518,22.649666,49.951308000000004,2020,1,mies_suma_opad,22.142411154232942
4519,15.174479000000002,52.744631000000005,2020,1,mies_suma_opad,37.05008901934108
4520,20.482843,53.710861,2020,2,mies_suma_opad,54.8594873061184
4521,16.2477,54.153613,2020,2,mies_suma_opad,55.647026607319425
4522,17.183084,51.691261,2020,2,mies_suma_opad,65.31027448034219
4523,16.790134,52.114888,2020,2,mies_suma_opad,69.35852920212604
4524,17.260901999999998,50.847896,2020,2,mies_suma_opad,55.23503620408794
4525,20.27488,49.970209000000004,2020,2,mies_suma_opad,79.7158918062342
4526,22.649666,49.951308000000004,2020,2,mies_suma_opad,75.97716215011695
4527,15.174479000000002,52.744631000000005,2020,2,mies_suma_opad,67.9696040195258
4528,20.482843,53.710861,2020,3,mies_suma_opad,24.974903331777288
4529,16.2477,54.153613,2020,3,mies_suma_opad,30.31818341742381
4530,17.183084,51.691261,2020,3,mies_suma_opad,18.154770301206614
4531,16.790134,52.114888,2020,3,mies_suma_opad,24.602530798571447
4532,17.260901999999998,50.847896,2020,3,mies_suma_opad,21.92994398949614
4533,20.27488,49.970209000000004,2020,3,mies_suma_opad,18.34472765292974
4534,22.649666,49.951308000000004,2020,3,mies_suma_opad,33.10693029072873
4535,15.174479000000002,52.744631000000005,2020,3,mies_suma_opad,26.84832282975165
4536,20.482843,53.710861,2020,4,mies_suma_opad,5.997257828702549
4537,16.2477,54.153613,2020,4,mies_suma_opad,7.929798129829365
4538,17.183084,51.691261,2020,4,mies_suma_opad,5.011899248297722
4539,16.790134,52.114888,2020,4,mies_suma_opad,3.5668376663298877
4540,17.260901999999998,50.847896,2020,4,mies_suma_opad,6.558219093116476
4541,20.27488,49.970209000000004,2020,4,mies_suma_opad,12.421356936106644
4542,22.649666,49.951308000000004,2020,4,mies_suma_opad,15.990925796102708
4543,15.174479000000002,52.744631000000005,2020,4,mies_suma_opad,5.38259596947526
4544,20.482843,53.710861,2020,5,mies_suma_opad,75.98686575648784
4545,16.2477,54.153613,2020,5,mies_suma_opad,49.9649852962595
4546,17.183084,51.691261,2020,5,mies_suma_opad,66.39702828230061
4547,16.790134,52.114888,2020,5,mies_suma_opad,51.14282118466491
4548,17.260901999999998,50.847896,2020,5,mies_suma_opad,65.56397888069391
4549,20.27488,49.970209000000004,2020,5,mies_suma_opad,130.03546047898234
4550,22.649666,49.951308000000004,2020,5,mies_suma_opad,127.86424615333816
